other_description,action
GRABBED OFFNDER'S SHIRT,Other description
GRABBED OFFS ARMS ,Other description
GRABBED ON TO HER HAIR,Other description
GRABBED ONTO FRONT OF SHIRT,Other description
GRABBED ONTO HIS ARM,Other description
GRABBED OR BEAR HUGGED ,Other description
GRABBED OUTTER GARMENT,Other description
GRABBED PANT LEGS,Other description
GRABBED REAR OF PANTS,Other description
GRABBED RESISTER,Other description
GRABBED RESISTER'S ARM,Other description
GRABBED SHIRT,Other description
GRABBED SHIRT AND WAS DRAGGED ,Other description
GRABBED SHIRT WHILE FALLING ,Other description
GRABBED SHIRT/ARM DRAGGED SUBJ,Other description
GRABBED SHOUDER/HEAD AREA ,Other description
GRABBED SHOULDER TO CONTAIN,Other description
GRABBED SHOULDERS,Other description
GRABBED SUBJECT,Other description
GRABBED SUBJECT AND FELL TO GR,Other description
GRABBED SUBJECT ARM,Other description
GRABBED SUBJECT ARM ,Other description
GRABBED SUBJECT ARM TO ESCORT,Other description
GRABBED SUBJECT AROUND WAIST ,Other description
GRABBED SUBJECT BY ARM AND LEG,Other description
GRABBED SUBJECT BY HAIR,Other description
GRABBED SUBJECT BY JACKET ,Other description
GRABBED SUBJECT BY SHIRT,Other description
GRABBED SUBJECT BY THE HAIR,Other description
GRABBED SUBJECT TO GAIN CONTRO,Other description
GRABBED SUBJECT TO SEPARATE ,Other description
GRABBED SUBJECT TO UPRIGHT HER,Other description
GRABBED SUBJECT WITH BOTH ARMS,Other description
GRABBED SUBJECT'S ARM,Other description
GRABBED SUBJECT'S ARM ,Other description
GRABBED SUBJECT'S HAND ,Other description
GRABBED SUBJECT'S LEG,Other description
GRABBED SUBJECT'S LEGS,Other description
GRABBED SUBJECT'S LEGS ,Other description
GRABBED SUBJECT'S SHIRT,Other description
GRABBED SUBJECT'S WAIST,Other description
GRABBED SUBJECTS ARM,Other description
GRABBED SUBJECTS ARMS,Other description
GRABBED SUBJECTS HANDS/ARMS,Other description
GRABBED SUBJECTS HEAD,Other description
GRABBED SUBJECTS LEG,Other description
GRABBED SUBJECTS RIGHT ARM,Other description
GRABBED SUBJECTS SHIRT,Other description
GRABBED THE OFFENDER,Other description
GRABBED TO CONTROL,Other description
GRABBED TO CONTROL MOVEMENTS,Other description
GRABBED TO CONTROL SUBJECT,Other description
GRABBED TO EFFECT ARREST,Other description
GRABBED TO GET ARMS AND HANDS,Other description
GRABBED UPPER BODY ,Other description
GRABBED UPPER TORSO,Other description
GRABBED WITH BOTH HANDS,Other description
GRABBED WITH HANDS,Other description
GRABBED WRESTLED OFFENDER ,Other description
GRABBED/ATTEMPT TO SEIZE,Other description
GRABBED/HELD SUBJECTS LEGS,Other description
GRABBED/PULLED OFFENDER,Other description
GRABBED/PUSHED,Other description
GRABBING,Other description
GRABBING AND PUSHING,Other description
GRABBING AND PUSHING ,Other description
GRABBING AND STRUGGLE,Other description
GRABBING ARMS TO GAIN CONTROL,Other description
GRABBING CLOTHS AND BODY,Other description
GRABBING HIS JACKET TO DETAIN,Other description
GRABBING HOLD OF  BOTH ARMS,Other description
GRABBING HOLD OF BOTH ARMS,Other description
GRABBING LEG TO PLACE IN WAGON,Other description
GRABBING OF SHIRT & BODY,Other description
GRABBING OF SHIRT AND BODY,Other description
GRABBING OFFENDERS HANDS,Other description
GRABBING SUBJECTS ARMS & HEAD,Other description
GRABBING SUBJECTS RIGHT ARM,Other description
"GRABBING, LIFTING, CARRYING",Other description
GRABED FROM BEHIND TO ARREST,Other description
GRABED LEFT LEG,Other description
GRABED OFENDERS JACKET SLEEVE,Other description
GRABED OFFENDER ARMS AND HEAD ,Other description
GRABED SUBJECTS ARM,Other description
GRABED SUBJECTS HEAD,Other description
GRAPPED SUBJECT BY JACKET,Other description
GRAPPLED BODY,Other description
GRAPPLED/ATTEMPT TO RESTRAIN,Other description
GRAPPLING & ATTEMPT TO HANDCUF,Other description
GRASP TO TAKE CONTROL,Other description
"GRASPED OFFENDERS HAND,PLACED ",Other description
GRASPED SHIRT OF OFFENDER,Other description
GRASPED SHOULDER AND NECK AREA,Other description
GRASPED SUBJECT,Other description
GRASPING AND PULLING TECHNIQUE,Other description
GRIP HOLD,Other description
GRIP HOLD ON L HAND,Other description
GRIPPED ARM TO REMOVE WEAPON,Other description
GRIPPED RIGHT AND ESCORTED,Other description
GRIPPED WEAPON,Other description
GUARDED  TO PROTECT MYSELF ,Other description
GUIDE SUBJECT INTO PATROL CAR,Member presence
GUIDE/SUPPORT SUBJECT,Member presence
GUIDED BY GRABBING JACKET,Other description
GUIDED OFFENDER'S FACE AWAY,Other description
GUIDED SUBJECT INTO PATROL CAR,Other description
HAD ASSISTING OFFICER,Other description
HAD SUBJECT ESCORTED TO OFFICE,Other description
HAD TO BE CARRIED TO THE WAGON,Other description
HAD TO BE LIFTED IN SQUAD CAR,Other description
HAD TO BE PULLED INTO SQUADCAR,Other description
HAD TO CARRY SUBJECT,Other description
HAD TO CARRY SUBJECT ,Other description
HAD TO DRAG/CARRY OFFENDER,Other description
HAD TO HOLD HER UP,Other description
HAD TO PLACE AGAINST WALL,Other description
HAD TO PULL FROM VEHICLE,Other description
HAD TO PULL OFF. INTO CAR,Other description
HAIR / HEAD CONTROL ,Other description
HAIR CONTROL,Other description
HAIR GRAB,Other description
HAIR/HEAD CONTROL,Other description
HAND AND FOREARM,Other description
HAND CHECK,Other description
HAND CONTROL,Other description
HAND GESTURES,Other description
HAND HOLD TO PREVENT HEADBUTT,Other description
HAND ON CHEST TO SECURE ,Other description
HAND ON SHOULDER TO STOP OFF.,Other description
HAND OVER MOUTH ,Other description
HAND PLACED ON OFFENDER'S BACK,Other description
HAND RESTRAINT TO ARMS,Other description
HAND STRIKE TO SIDE OF HEAD,Open hand strike
HAND STRIKES TO SUBJECTS SIDE.,Open hand strike
HAND TO HAND COMBAT,Other description
HAND TO MOUTH TO SUBDUE SPIT,Other description
HAND TO THE NECK TO AVOID SPIT,Other description
HANDCUFED SUBJECT,Other description
HANDHELD SHORT-STEM RADIO,Other description
HANDHOLD ONTO THE ARM,Other description
HANDHOLDS,Other description
HANDS,Other description
HANDS AND LEGS,Other description
HANDS ON CHEST/HOLDS,Other description
HANDS ON FOR CONTROL,Other description
HANDS ON SUBJECT'S UPPER CHEST,Other description
HANDS ONLY ,Other description
HANDS/BODY TO CONTROL OFFENDER,Other description
HANGED ONTO VEHICLE ,Other description
HBT SITUATION,Other description
HBT SITUATION INITIATED,Other description
HEAD BUTT,Other description
HEAD CONTROL,Other description
HEAD CONTROL TO PREVENT BITE,Other description
HEAD RESTRAINT,Other description
HEAD STRIKE,Other description
HEADBUTT,Other description
HEIMLICH MANEUVER,Other description
HELD 1 LEG AND SWEPT OTHER LEG,Other description
HELD ACTIVE RESISTER FEET,Other description
HELD AGAINST CAR ,Other description
HELD AGAINST FIXED STRUCTURE,Other description
HELD AGAINST HOOD OF CAR,Other description
HELD AGAINST POLICE VEHICLE,Other description
HELD AGAINST SQUAD SUV,Other description
HELD AGAINST THE GROUND,Take down
HELD AGAINST VEHICLE,Other description
HELD AGAINST WALL,Other description
HELD AGAIST ELAVATOR WALL TO S,Other description
HELD AGANIST WALL,Other description
HELD AND KNELT ON LEGS/CONTROL,Other description
HELD AND RESTRAINED,Other description
HELD ANKLES AND FEET,Other description
HELD ARM ,Other description
HELD ARM AGAINST CHEST ,Other description
HELD ARM SO COULD NOT FLEE,Other description
HELD ARMS,Other description
HELD ARMS ,Other description
HELD ARMS AND LEGS,Other description
HELD ARMS IN ORDER TO HANDCUF ,Other description
HELD ARMS TO TAKE TO LU,Other description
HELD ARMS UNDER CONTOL,Other description
HELD ARRESTEE AGAINST GROUND,Take down
HELD ARRESTEE DOWN,Other description
HELD ARRESTEE ON GROUND,Take down
HELD ARRESTEE UNTIL ASSIST ,Other description
HELD ARRESTEE'S UPPER TORSO,Other description
HELD ASSAILANT & ASSIST,Other description
HELD ASSAILANT BY THE ARM,Other description
HELD ASSAILANT DOWN ,Other description
HELD BODY AGAINST VEHICLE,Other description
HELD BODY FROM THRASHING,Other description
HELD BOTH ARMS UNTIL HELP CAME,Other description
HELD BY CHIN DURING DEAD WEIGT,Other description
HELD BY HAIR,Other description
HELD BY JACKET COLLAR,Other description
HELD CAR DOOR CLOSED,Other description
HELD COLLAR FOR CONTROL & SAT ,Other description
HELD DOWN,Other description
HELD DOWN ,Other description
HELD DOWN AGAINST GROUND,Take down
HELD DOWN AND REMOVE CLOTHING,Other description
HELD DOWN AND REMOVED SHOES,Other description
HELD DOWN ARRESTEE,Other description
HELD DOWN BODY AGAINST VEHICLE,Other description
HELD DOWN BODY AND LEGS,Other description
HELD DOWN DETAINEE'S ARMS ,Other description
HELD DOWN FEET,Other description
HELD DOWN FOR OFFICER ASSISTAN,Other description
HELD DOWN FOR OFFICER SAFETY,Other description
HELD DOWN FOR OWN SAFETY,Other description
HELD DOWN FOR RESTRAINT,Other description
HELD DOWN FOR WAGON,Other description
HELD DOWN FOR WAGON TRANSPORT,Other description
HELD DOWN HIS LEG ,Other description
HELD DOWN HIS LEGS,Other description
HELD DOWN HIS LEGS ,Other description
HELD DOWN HIS TORSO,Other description
HELD DOWN LEGS,Other description
HELD DOWN LEGS ,Other description
HELD DOWN LEGS AND ARMS,Other description
HELD DOWN LEGS/UPPER BODY,Other description
HELD DOWN OFFENDER,Other description
HELD DOWN OFFENDER AND ARREST,Other description
HELD DOWN OFFENDER UNTIL ASS.,Other description
HELD DOWN ON GROUND,Take down
HELD DOWN ON GROUND BY MEMBER,Take down
HELD DOWN ON GROUND WITH HANDS,Take down
HELD DOWN SUBJECT,Other description
HELD DOWN SUBJECT LEGS,Other description
HELD DOWN SUBJECT'S LEGS,Other description
HELD DOWN SUBJECTS ARM,Other description
HELD DOWN SUBJECTS ARMS ,Other description
HELD DOWN TO CONTROL,Other description
HELD DOWN TO REMOVE CLOTHING,Other description
HELD DOWN TORSO AND LEGS,Other description
HELD DOWN USING BODY,Other description
HELD DOWN WAITING FOR WAGON,Other description
HELD DOWN WITH BODY WEIGHT,Other description
HELD DOWN WITH FOOT,Other description
HELD DOWN WITH HANDS ON SHOULD,Other description
HELD DOWN WITH HANDS TO SHOULD,Other description
HELD FACE FORWARD FOR SPITTING,Other description
HELD FACE IN OTHER DIRECTION,Other description
HELD FEET,Other description
HELD FEET AND BOUND NAILS,Other description
HELD FEET DOWN,Other description
HELD FEET DOWN ,Other description
HELD FOOT,Other description
HELD FOR A SEARCH,Other description
HELD FOR FOR PHYSICAL ARREST,Other description
HELD FOR ON DUTY OFFICERS,Other description
HELD FOR POLICE,Other description
HELD FOR SEARCH,Other description
HELD FROM FURTHER SPITTING,Other description
HELD HEAD AND FEET DOWN ,Other description
HELD HEAD AND JAW AREA,Other description
HELD HEAD AND SHOULDERS,Other description
HELD HEAD AWAY FROM P.O.'S,Other description
HELD HEAD AWAY FROM P/O,Other description
HELD HEAD AWAY FROM R/O,Other description
HELD HEAD DOWN,Other description
HELD HEAD DOWN AGAINST FLOOR,Other description
HELD HEAD DOWN TO PREVENT SPIT,Other description
HELD HEAD FORWARD,Other description
HELD HEAD IN PLACE ,Other description
HELD HEAD TO GROUND,Take down
HELD HEAD UP BY HOLDING CHEEK,Other description
HELD HER DOWN,Other description
HELD HER HANDS BEHIND BACK ,Other description
HELD HIM DOWN,Other description
HELD HIS ARMS,Other description
HELD HIS LEG,Other description
HELD HIS LEGS ,Other description
HELD HIS LEGS DOWN,Other description
HELD IN PLACED ON BENCH,Other description
HELD JACKET SLEEVE,Other description
HELD LEASH OF SUBJECTS DOG,Other description
HELD LEG ,Other description
HELD LEG DOWN,Other description
HELD LEG DOWN ,Other description
HELD LEG DOWN WITH FOOT,Other description
HELD LEG.,Other description
HELD LEGS,Other description
HELD LEGS ,Other description
HELD LEGS AND BODY ,Other description
HELD LEGS DOWN,Other description
HELD LEGS DOWN WHILE ON GURNEE,Other description
HELD LEGS DOWN WHILE ON GURNEY,Other description
"HELD LEGS DOWN, TORSO/SHLDERS",Other description
HELD LEGS FROM FLAILING,Other description
HELD LEGS FROM FLAILING ,Other description
HELD LEGS TO PREVENT BATTERY ,Other description
HELD LEGS TOGETHER,Other description
"HELD LEGS, PREVENT BATTERY",Other description
HELD LEGS/FEET,Other description
HELD OFF HEAD AWAY FROM SELF.,Other description
HELD OFF OFF WITH HANDS,Other description
HELD OFF. HAIR/HEAD FORWARD,Other description
HELD OFF. HEAD IN SAFE DIRECTI,Other description
HELD OFF. ON THE GROUND,Take down
HELD OFF. ONTO THE SQUAD CAR ,Other description
HELD OFF. WITH ARMS/HANDS,Other description
HELD OFF'S LEG.,Other description
HELD OFFENDER,Other description
HELD OFFENDER ,Other description
HELD OFFENDER AGAINST  GROUND,Take down
HELD OFFENDER AGAINST WALL,Other description
HELD OFFENDER AT CHEST AREA,Other description
HELD OFFENDER AWAITING ASSIST,Other description
HELD OFFENDER BY ARMS,Other description
HELD OFFENDER BY HAIR,Other description
HELD OFFENDER BY NECK,Other description
HELD OFFENDER DOWN,Other description
HELD OFFENDER DOWN ,Other description
HELD OFFENDER DOWN BY HAIR,Other description
HELD OFFENDER DOWN ON BENCH,Other description
HELD OFFENDER DOWN ON GROUND,Take down
HELD OFFENDER DOWN ON GROUND.,Take down
HELD OFFENDER DOWN UNTIL HELP ,Other description
HELD OFFENDER DOWN UNTL ASSIST,Other description
HELD OFFENDER DOWN WITH FOOT,Other description
HELD OFFENDER DOWN/STOP ASSAUL,Other description
HELD OFFENDER ON GROUD,Take down
HELD OFFENDER ON GROUND,Take down
HELD OFFENDER ON THE GROUND,Take down
HELD OFFENDER TO GROUND,Take down
HELD OFFENDER TO THE GROUND,Take down
HELD OFFENDER UP TO WALL,Other description
HELD OFFENDER' S LEGS,Other description
HELD OFFENDER'S ARMS DOWN,Other description
HELD OFFENDER'S HAND DOWN,Other description
HELD OFFENDER'S HANDS AND ARMS,Other description
HELD OFFENDER'S LEGS,Other description
HELD OFFENDERS ANKLES ,Other description
HELD OFFENDERS ARMS DOWN,Other description
HELD OFFENDERS FACE AWAY,Other description
HELD OFFENDERS FEET DOWN,Other description
HELD OFFENDERS HAND ,Other description
HELD OFFENDERS HEAD ,Other description
HELD OFFENDERS HEAD DOWN,Other description
HELD OFFENDERS LEGS,Other description
HELD OFFENDERS LEGS ,Other description
HELD OFFENDERS LEGS DOWN,Other description
HELD OFFENDERS LEGS DOWN ,Other description
HELD OFFENDERS LEGS.,Other description
HELD ON,Other description
HELD ON GROUND,Take down
HELD ON GROUND ,Take down
HELD ON GURNEY TILL SECURED,Other description
HELD ON HOOD OF SQUAD CAR,Other description
HELD ON HOOD OF SQUAD CAR ,Other description
HELD ON OFFENDER ,Other description
HELD ON TO ASSAILANT,Other description
HELD ON TO OFFENDERS CLOTHING,Other description
HELD ON TO SHOULDER/NECK AREA,Other description
HELD ON TO STEERING WHEEL,Other description
HELD ON TO SUBJECTS LEGS,Other description
HELD ON TO SUBJECTS SHIRT,Other description
HELD ON TO THE OFFENDERS FEET.,Other description
HELD ON WHILE BEING DRAGGED,Other description
HELD ONTO,Other description
HELD ONTO ARM,Other description
HELD ONTO ARMS ,Other description
HELD ONTO ARRESTEE,Other description
HELD ONTO CLOTHING,Other description
HELD ONTO HIM ,Other description
HELD ONTO LEFT ARM,Other description
HELD ONTO OFFENDER,Other description
HELD ONTO SHIRT,Other description
HELD ONTO SUBJECT,Other description
HELD ONTO SUBJECT ,Other description
HELD PRISONER ,Other description
HELD RESISTER WITH BOTH HANDS,Other description
HELD RESISTER'S HEAD DOWN,Other description
HELD RESISTER'S LEGS,Other description
HELD RESISTERS CLOTHING,Other description
HELD SHOULDER AND ARMS DOWN,Other description
HELD SUBJ. SHOULDERS TO GROUND,Take down
HELD SUBJECT,Other description
HELD SUBJECT ,Other description
HELD SUBJECT ABOUT THE ARM,Other description
HELD SUBJECT ABOUT UPPERBODY,Other description
HELD SUBJECT AGAINST THE WALL,Other description
HELD SUBJECT AGAINST VEHICLE,Other description
HELD SUBJECT AGAINST WALL,Other description
HELD SUBJECT AGAINST WALL ,Other description
HELD SUBJECT AGANIST SQUAD CAR,Other description
HELD SUBJECT ARM TO STABILIZE,Other description
HELD SUBJECT AWAY,Other description
HELD SUBJECT BY ARMS,Other description
HELD SUBJECT BY CLOTHING,Other description
HELD SUBJECT BY SHIRT,Other description
HELD SUBJECT BY THE ARM/NECK,Other description
HELD SUBJECT DOWN,Other description
HELD SUBJECT DOWN ,Other description
HELD SUBJECT DOWN BY SHOULDERS,Other description
HELD SUBJECT DOWN BY THE LEGS,Other description
HELD SUBJECT DOWN IN CHAIR,Other description
HELD SUBJECT DOWN ON GURNEE,Other description
HELD SUBJECT DOWN ON SEAT,Other description
HELD SUBJECT DOWN VIA SEATBELT,Other description
HELD SUBJECT DOWN WITH HANDS ,Other description
HELD SUBJECT DOWN.,Other description
HELD SUBJECT FROM EXITING VEH,Other description
HELD SUBJECT FROM PULLING AWAY,Other description
HELD SUBJECT IN OPPOSITE DIREC,Other description
HELD SUBJECT IN PLACE,Other description
HELD SUBJECT LEGS DOWN,Other description
HELD SUBJECT ON GROUND,Take down
HELD SUBJECT ON GROUND ,Take down
HELD SUBJECT STATIONARY,Other description
HELD SUBJECT TO AFFECT ARREST.,Other description
HELD SUBJECT TO GROUND,Take down
HELD SUBJECT TO REMOVE CLOTHES,Other description
HELD SUBJECT TO STABILIZE,Other description
HELD SUBJECT TO STOP BATTERY,Other description
HELD SUBJECT TO THE GROUND,Take down
HELD SUBJECT UNTIL ASSISTED,Other description
HELD SUBJECT UNTIL P/O NALLEN ,Other description
HELD SUBJECT-BODY CONTROL,Other description
HELD SUBJECT'S HEAD DOWN,Other description
HELD SUBJECT'S LEG DOWN,Other description
HELD SUBJECT'S LEGS,Other description
HELD SUBJECTS ARM,Other description
HELD SUBJECTS ARM TOTHE GROUND,Take down
HELD SUBJECTS ARMS BEHIND BACK,Other description
HELD SUBJECTS HEAD,Other description
HELD SUBJECTS HEAD DOWN,Other description
HELD SUBJECTS LEGS,Other description
HELD SUBJECTS LEGS ,Other description
HELD SUBJECTS LEGS DOWN,Other description
HELD SUBJECTS LEGS IN VEHICLE ,Other description
HELD SUBJECTS LEGS STATIONARY,Other description
HELD SUBJECTS LEGS TO GROUND,Take down
HELD SUBJECTS RIGHT ARM AND SH,Other description
HELD T-SHIRT,Other description
HELD TACTICAL POSTION,Other description
HELD THE OFFENDER DOWN,Other description
HELD THE SUBJECT,Other description
HELD THE SUBJECT DOWN,Other description
HELD THE SUBJECT ON THE GROUND,Take down
HELD TO ASSISTANCE ARRIVED,Other description
HELD TO PREVENT INJURY TO SUB,Other description
HELD TO PREVENT INJURY TO SUBJ,Other description
HELD TO THE GROUND,Take down
HELD TO THE GROUND FACE DOWN,Take down
HELD UNTIL ASSIST UNIT ARRIVAL,Other description
HELD UP AGAINST SQUAD CAR,Other description
HELD UPPER ARM AND SHOULDER,Other description
HELD UPPER JACKET COLLAR & ARM,Other description
HELD VICTIM ON CAR ,Other description
HELD WAILING ARM,Other description
HELD/CONTROLLED ARM TO PREVENT,Other description
"HELD/STABILIZED HEAD, UP BODY",Other description
HELDS OFFENDERS LEGS/WAIST ,Other description
HELMET,Other description
HELP CARRY SUBJECT TO WAGON,Other description
HELP DETAINED SUBJECT,Other description
HELP HER INTO VEHICLE,Other description
HELPED HOSP STAFF W/ FACECOVER,Other description
HIND LEG SWEEP,Other description
HIP TOSS,Other description
HIT WITH POLICE ISSUE RADIO,Other description
HOLD,Other description
HOLD AGAINST WALL ,Other description
HOLD ANKLE DOWN ,Other description
HOLD CHEST AND HEAD DOWN,Other description
HOLD DOWN FOR CONTROL,Other description
HOLD DOWN LEG SHACKELS ,Other description
HOLD DOWN SUBJECT,Other description
HOLD FIRMLY ON THE GROUND,Take down
HOLD FIRMLY ON THE GROUNG,Take down
HOLD FIRMLY TO THE GROUND,Take down
HOLD FROM BEHIND,Other description
HOLD HEAD AWAY FROM ARM,Other description
HOLD LEGS,Other description
HOLD LEGS AND HANDS,Other description
HOLD LEGS TO SHACKLE ANKLES,Other description
HOLD OFFENDER BACK WITH ARM,Other description
HOLD OFFENDER DOWN ON FLOOR,Other description
HOLD ON GROUND,Take down
HOLD ON OFFENDER,Other description
HOLD RIGHT ARM,Other description
HOLD SHIRT,Other description
HOLD SUBJECT ,Other description
HOLD SUBJECT DOWN ASSIST ER,Other description
HOLD SUBJECT DOWN ASSIST ER ,Other description
HOLD THE SUBJECT,Other description
HOLD TO PREVENT FURTHER SELF H,Other description
HOLD TO RESTRAIN,Other description
"HOLD-UP ""DEAD WEIGHT"" SUBJECT",Other description
HOLD/CONTROL SUBJECTS ARM ,Other description
HOLDING,Other description
HOLDING ACTIVE RESISTER FEET ,Other description
HOLDING ARM TO CONTROL,Other description
HOLDING ARMS,Other description
HOLDING ARMS ,Other description
HOLDING FEET DOWN,Other description
HOLDING LEGS,Other description
HOLDING LEGS DOWN,Other description
HOLDING OF HEAD AND NECK,Other description
HOLDING OFFENDER,Other description
HOLDING OFFENDER DOWN ,Other description
HOLDING OFFENDER ON GROUND,Take down
HOLDING OFFENDER STATIONARY,Other description
HOLDING OFFENDER'S R/ARM DOWN,Other description
HOLDING OFFENDERS CLOTHES,Other description
HOLDING OFFENDERS FOOT,Other description
HOLDING OFFENDERS LEFT HAND DO,Other description
HOLDING OFFENDERS SHOULDERS,Other description
HOLDING ON TO OFFENDER,Other description
HOLDING ONTO SUBJECT,Other description
HOLDING SUBJECT,Other description
HOLDING SUBJECT DOWN,Other description
HOLDING SUBJECT TO THE GROUND,Take down
HOLDING SUBJECT'S CLOTHING,Other description
HOLDING SUBJECT'S LEGS DOWN,Other description
HOLDING SUBJECTS LEGS DOWN,Other description
HOLDING TECHNIQUES ,Other description
HOLDING UPPER CHEST AND NECK,Other description
"HOLDING, PAIN COMPLIANCE",Other description
HOLDS,Other description
HOT PURSUIT,Other description
HUNG ON AND FELL WITH OFFENDER,Other description
I.D. MYSELF AS A P.O.,Verbal direction/control techniques
I.W. TO BREAK WINDOW,Other description
ID AS P.O,Verbal direction/control techniques
ID SELF AS A POLICE OFFICER,Verbal direction/control techniques
IDENTIFIED HIMSELF AS POLICE,Verbal direction/control techniques
IDENTIFIED MYSELF AS P.O.,Verbal direction/control techniques
IDENTIFIED OFFICE,Verbal direction/control techniques
IDENTIFIED SELF,Verbal direction/control techniques
IDENTIFIED SELF AS POLICE OFFI,Verbal direction/control techniques
"IDENTIFIED SELF, CALLED 911",Verbal direction/control techniques
IDENTIFIED SELF& CALLED 911,Verbal direction/control techniques
IDENTIFIES SELF AS P.O.,Verbal direction/control techniques
IGNORED THREATS,Member presence
IMMEDIATE ACCIDENTAL DISCHARGE,Firearm
IMMEDIATELY CALLED 911 ,Verbal direction/control techniques
IMMOBILIZATION/CONTROL OF LEGS,Other description
IMMOBILIZE AGAINST FENCE,Other description
IMMOBILIZED ARRESTEE'S HEAD ,Other description
IMMOBILIZED OFFENDER'S LEGS,Other description
IMMOBILIZED SUB. RT ARM ,Other description
IMMOBILIZED SUBJECT'S HEAD,Other description
IMMOBILIZED SUBJECT'S HEAD ,Other description
IMMOBILIZED SUBJECTS LEGS,Other description
IMMOBILIZED USING ARM/LEG HOLD,Other description
IMMOBILZED AGAINST RAILING,Other description
IMMOBLIZING LEGS,Other description
IN ADDITIONAL INFO BOX,Other description
IN ADDITIONAL INFORMATION,Other description
IN ATTEMPT TO GAIN CONTROL,Other description
IN ATTEMPTS TO GAIN CONTROL ,Other description
IN CAGE CAR UNABLE TO RESPOND,Other description
IN CUSTODY AFTER FOOT CHASE ,Other description
IN CUSTODY AT TIME,Other description
IN CUSTODY WITHOUT INCIDENT,Other description
IN DEFENSE OF PARTNER,Other description
IN ORDER TO AFFECT ARREST,Other description
IN ORDER TO RETRIEVE HANDS,Other description
INCIDENTAL BODY/WEAPON CONTACT,Other description
INCREASED DISTANCE,Member presence
INCUSTODY WITHOUT INCIDENT,Other description
INITIATE FOOT PURSUIT,Other description
INITIATED FOOT PURSUIT,Other description
ISPRA TANK,Other description
JOINT MANIPULATION,Other description
JUMP OUT OF THE WAY,Other description
JUMP OUT OF THE WAY.,Other description
JUMPED ASIDE TO AVOID AUTO,Other description
JUMPED AWAY,Other description
JUMPED AWAY FROM ATTACKING VEH,Other description
JUMPED AWAY FROM PATH OF TIRE,Other description
JUMPED AWAY FROM REAR WHEEL,Other description
JUMPED FROM VEHICLES PATH,Other description
JUMPED INTO VEHICLE ,Other description
JUMPED OF BIKE TO AVOID BEING ,Other description
JUMPED ON ASSAILANT'S BACK,Other description
JUMPED ON TOP AND GRABBED HIM,Other description
JUMPED OUT OF MOVING VEHICLE,Other description
JUMPED OUT OF PATH OF VEHICLE,Other description
JUMPED OUT OF THE WAY,Other description
JUMPED OUT OF VEHICLE PATH ,Other description
JUMPED OUT OF VEHICLE WAY,Other description
JUMPED OUT OF VEHICLES PATH,Other description
JUMPED OUT OF WAY,Other description
JUMPED OUT OF WAY OF MOTOR VEH,Other description
JUMPED OUT OF WAY OF VEHICLE,Other description
JUMPED OUT THE WAY,Other description
JUMPED OUT WAY,Other description
JUMPED TO SAFETY,Other description
KEEP HEAD POINTED DOWNWARD,Other description
KEPT CONTROL OF SUBJECTS HEAD ,Other description
KEPT HEAD AWAY FROM BODY,Other description
KEPT PRONE BY DRAGGING,Taser
KEPT SUBJECT FROM DISARMING RO,Other description
KEPT UNDER SURVEILLANCE,Other description
KNELT ON ARMS UNTIL ASSISTANCE,Other description
KNELT ON BACK TO FREE HANDS,Other description
KNELT ON LEG TO PREVENT STRIKE,Other description
KNELT ON NECK,Other description
KNELT ON RIGHT LEG,Other description
KNELT ON SUBJECT'S BACK,Other description
KNELT ON SUBJECT'S BACK ,Other description
KNELT ON SUBJECT'S SHOULDER,Other description
KNELT ON SUBJECT'S UPPER BACK,Other description
LANDED ON SUBJECT,Other description
LASER TARGETING,Other description
LAYED ON TOP OF OFFENDER,Other description
LEANED AGAINST OFFENDER,Other description
LEAPED FROM PATH OF VEHICLE,Other description
LEFT & CALLED 911.,Verbal direction/control techniques
LEFT LEG FOR CONTROLLING OFF. ,Other description
LEFT SCENE TO GET TREATMENT,Other description
LEG  SHACKLES,Other description
LEG HOLD,Other description
LEG IRONS,Other description
LEG IRONS APPLIED,Other description
LEG RESTRAINT,Other description
LEG RESTRAINTS ,Other description
LEG RESTRAINTS/STRAPS,Other description
LEG SHACKELS,Other description
LEG SHACKLED OFFENDER,Other description
LEG SHACKLES,Other description
LEG SHACKLES REQUIRED ,Other description
LEG STRIKE,Knee strike
LEG STRIKE USED,Knee strike
LEG SWEEP,Other description
LEG SWEEP ,Other description
LEG SWEEPS,Other description
LEGS SHACKLED ,Other description
LEGS SHACKLES,Other description
LEGS TO RESTRAIN OFFENDER,Other description
LESS LETHAL FORCE APPLIED,Other description
LET E/R STAFF RESTRAIN SUBJECT,Other description
LET GO OF STEERING WHEEL,Other description
LIFT AND CARRIED,Other description
LIFT AND CARRY,Other description
LIFT SUBJECT INTO VEHICLE,Other description
LIFT SUBJECT INTO VEHICLE.,Other description
LIFT/DRAG  ,Other description
LIFTED AND CARRIED SUBJECT  ,Other description
LIFTED AND PLACED INTO VEHICLE,Other description
LIFTED BY LEGS,Other description
LIFTED FOOT/LEG INTO CAR,Other description
LIFTED LEGS,Other description
LIFTED OFF'S FEET TO CONTROL,Other description
LIFTED OFFENDER FROM SIDEWALK,Other description
LIFTED OFFENDER'S LEG ,Other description
LIFTED OVER BARRICADES,Other description
LIFTED SUBJECT,Other description
LIFTED SUBJECT FROM GROUND,Take down
LIFTED SUBJECT FROM GROUND ,Take down
LIFTED SUBJECT FROM THE GROUND,Take down
